연월,nationNm,natDefCnt
2020년 03월,중국,81518.0
2020년 04월,중국,82862.0
2020년 05월,중국,83001.0
2020년 06월,중국,83531.0
2020년 07월,중국,84292.0
2020년 08월,중국,85048.0
2020년 09월,중국,85403.0
2020년 10월,중국,85973.0
2020년 11월,중국,86542.0
2020년 12월,중국,87052.0
2021년 01월,중국,89522.0
2021년 02월,중국,89893.0
2021년 03월,중국,90201.0
2021년 04월,중국,90665.0
2021년 05월,중국,91099.0
2021년 06월,중국,91780.0
2021년 07월,중국,92930.0
2021년 08월,중국,94879.0
2021년 09월,중국,96128.0
2021년 10월,중국,97080.0
2021년 11월,중국,98711.0
2021년 12월,중국,102083.0
2022년 01월,중국,105934.0
2022년 02월,중국,109326.0
2022년 03월,중국,149276.0
2022년 04월,중국,214243.0
2022년 05월,중국,224099.0
2022년 06월,중국,225638.0
2022년 07월,중국,229294.0
2022년 08월,중국,243081.0
2022년 09월,중국,250293.0
2022년 10월,중국,259959.0
2022년 11월,중국,319536.0
2022년 12월,중국,393067.0
